Id,Player,Position,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
68,M. Cornet,2,5,26,21,1776,9,47,22,0,13,1,266,15,20,20,2,0,19,16,3,0
69,M. Lowton,2,5,25,20,1771,1,10,2,0,10,2,437,18,13,6,3,1,50,38,3,0
70,C. Roberts,2,5,21,19,1691,1,6,4,0,6,1,471,13,7,29,2,0,35,20,6,0
71,J. Cork,3,5,20,20,1676,1,7,2,0,7,0,419,6,31,10,4,0,23,20,6,0
72,N. Collins,2,5,19,18,1669,2,15,5,0,5,0,436,6,20,12,2,1,39,37,5,0
73,A. Lennon,3,5,28,17,1548,2,12,4,0,13,0,247,9,19,20,2,0,26,33,5,0
74,W. Weghorst,4,5,20,17,1457,2,30,9,0,13,3,274,14,29,18,3,0,15,17,5,0
75,J. Rodriguez,4,5,29,13,1374,2,41,11,0,8,2,181,12,31,16,3,0,16,20,5,0
76,E. Mendy,1,6,34,34,3060,0,0,0,0,0,0,658,0,1,3,3,0,0,1,14,73
77,A. Rudiger,2,6,34,34,3035,3,48,13,0,6,0,2199,12,35,12,9,0,56,48,14,0
78,Thiago Silva,2,6,32,28,2651,3,18,5,0,6,0,2432,7,12,12,2,0,65,32,11,0
79,M. Mount,3,6,32,27,2364,11,76,29,1,18,10,952,58,30,23,4,0,29,41,11,0
80,Jorginho,3,6,29,26,2278,6,16,9,6,16,2,1681,27,30,38,5,0,69,64,12,0
81,Marcos Alonso,2,6,28,25,2172,4,43,11,0,15,4,920,43,25,28,8,0,72,41,8,0
82,Azpilicueta,2,6,27,24,2074,1,11,4,0,15,2,1375,17,25,5,3,0,51,51,7,0
83,R. James,2,6,26,22,1865,5,37,10,0,36,9,1235,48,20,31,4,1,42,33,7,0
84,K. Havertz,3,6,29,22,1810,8,56,23,0,18,3,532,21,40,25,3,0,12,17,10,0
85,N. Kante,3,6,26,21,1778,2,17,9,0,35,4,1120,24,22,11,2,0,62,59,9,0
86,R. Lukaku,4,6,26,16,1585,8,43,15,1,13,0,231,24,8,12,1,0,1,2,7,0
87,M. Kovacic,3,6,25,16,1556,2,22,6,0,38,5,1059,27,24,20,4,0,38,51,8,0
88,A. Christensen,2,6,19,17,1494,0,5,0,0,4,0,1189,6,11,7,2,0,37,14,9,0
89,T. Chalobah,3,6,20,17,1449,3,9,7,0,10,1,1151,4,19,14,2,0,46,40,9,0
90,R. Loftus-Cheek,3,6,24,13,1387,0,19,6,0,42,2,860,18,18,41,1,0,21,29,4,0
91,M. Guehi,2,7,36,36,3223,2,19,5,0,12,1,2052,6,14,34,4,0,47,35,11,0
92,T. Mitchell,2,7,36,35,3102,0,4,0,0,16,2,1074,21,16,14,1,0,98,104,10,0
93,J. Andersen,2,7,34,32,2915,0,8,3,0,7,3,1904,19,19,8,4,0,60,30,12,0
94,C. Gallagher,3,7,34,33,2851,8,52,22,0,43,3,852,38,65,65,10,0,66,68,11,0
95,W. Zaha,4,7,33,31,2761,14,69,32,5,75,1,726,46,37,101,4,1,25,40,11,0
96,Guaita,1,7,30,30,2655,0,0,0,0,0,0,597,0,1,2,2,0,1,1,11,84
97,J. Ward,2,7,28,27,2486,0,10,1,0,20,0,1144,7,22,21,8,0,58,44,9,0
98,J. Ayew,4,7,31,23,2023,3,35,8,0,34,3,559,23,38,66,2,0,45,47,6,0
99,C. Kouyate,2,7,27,23,1978,0,7,0,0,13,1,655,5,29,21,3,0,76,52,8,0
100,J. Schlupp,3,7,32,20,1846,4,33,9,0,35,1,489,18,26,22,1,0,43,46,7,0
101,O. Edouard,4,7,28,18,1567,6,40,18,1,30,3,306,21,25,6,4,0,10,16,6,0
102,J. McArthur,3,7,21,15,1436,0,9,3,0,21,3,755,16,24,20,4,0,53,33,5,0
103,J. Mateta,4,7,22,13,1148,5,37,18,0,10,1,156,7,16,7,2,0,8,8,5,0
104,M. Olise,3,7,26,12,1137,2,19,10,0,28,5,445,24,16,27,4,0,24,22,3,0
105,C. Benteke,4,7,25,11,1136,4,39,13,0,9,1,192,13,16,16,3,0,4,3,3,0
106,J. Pickford,1,8,35,35,3150,0,0,0,0,1,0,491,4,0,6,2,0,2,1,7,117
107,M. Keane,2,8,32,31,2792,3,20,6,0,7,2,927,8,16,7,2,1,87,46,7,0
108,S. Coleman,2,8,30,30,2658,1,8,1,0,34,0,706,13,14,17,4,0,68,61,7,0
109,A. Doucoure,3,8,30,29,2538,2,34,11,0,21,4,861,19,39,16,6,0,71,75,5,0
110,Richarlison,4,8,30,28,2526,10,72,23,3,40,5,331,29,36,68,9,0,35,40,7,0
111,D. Gray,3,8,34,28,2347,5,65,17,0,55,4,515,42,12,32,3,0,34,30,6,0
112,A. Gordon,3,8,35,25,2284,4,44,18,0,38,2,455,35,25,64,4,0,54,54,6,0
113,Allan,3,8,28,25,2186,0,7,3,0,21,2,766,15,30,22,7,1,67,74,6,0
114,M. Holgate,2,8,25,23,2133,2,7,3,0,2,1,577,3,26,15,7,1,44,35,5,0
115,A. Iwobi,3,8,28,22,2037,2,24,6,0,32,2,554,36,16,6,1,0,39,40,6,0
116,B. Godfrey,2,8,23,23,2031,0,18,7,0,9,0,540,12,17,12,6,0,47,47,4,0
117,A. Townsend,3,8,21,17,1458,3,21,10,1,26,2,307,31,10,39,3,0,31,31,3,0
